Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature (K),Wind Speed
Myrtle Beach,1,US,1569534141,69,33.7,-78.89,304.15,4.1
Sabya,0,SA,1569534342,75,17.15,42.62,305.15,1.5
Kupang,0,ID,1569534342,76,-10.16,123.6,297.083,4.04
Lasa,0,CY,1569534342,83,34.92,32.53,297.15,3.1
Bartica,40,GY,1569534342,94,6.41,-58.62,297.15,6.2
Shingu,26,JP,1569534343,97,33.72,135.99,290.883,2.06
Bambous Virieux,40,MU,1569534343,88,-20.34,57.76,296.15,3.1
Abu Samrah,0,SY,1569534343,81,35.3,37.18,292.473,3.03
Basco,1,US,1569534343,40,40.33,-91.2,297.59,1.5
Half Moon Bay,1,US,1569534344,68,37.46,-122.43,302.04,8.2
Iqaluit,20,CA,1569534342,80,63.75,-68.52,277.15,4.1
Portobelo,40,PA,1569534344,78,9.55,-79.65,302.04,4.6
Hasaki,20,JP,1569534344,100,35.73,140.83,289.26,0.5
Ambajogai,100,IN,1569534344,87,18.73,76.39,296.593,5.85
Parana,20,BR,1569534345,46,-7.52,-72.89,307.15,1.0
Cedar City,20,US,1569534068,27,37.68,-113.06,298.15,5.7
Lebu,26,ET,1569534345,80,8.96,38.73,285.403,2.06
Pangnirtung,20,CA,1569534345,28,66.15,-65.72,287.15,5.7
Turka,34,RU,1569534345,87,52.95,108.22,283.943,1.89
Port Lincoln,4,AU,1569534345,83,-34.72,135.86,286.693,9.21
Lahaina,20,US,1569534346,55,20.87,-156.68,305.15,3.1
Esperance,90,AU,1569534346,100,-33.86,121.89,284.15,2.1
Chuy,54,UY,1569534346,69,-33.69,-53.46,287.543,3.97
Soyo,7,AO,1569534346,86,-6.13,12.37,297.543,2.73
Belmonte,0,PT,1569534346,89,40.36,-7.35,288.15,1.21
San Rafael,15,AR,1569534347,16,-34.61,-68.33,301.903,7.78
Nome,1,US,1569534347,49,30.04,-94.42,305.37,1.62
Luderitz,100,NA,1569534347,38,-26.65,15.16,296.15,2.6
Labuhan,100,ID,1569534347,95,-2.54,115.51,294.703,0.6
Puerto El Triunfo,75,SV,1569534347,74,13.27,-88.55,303.15,4.1
Soe,0,EE,1569534347,93,57.91,26.05,276.48,1.0
Sheltozero,100,RU,1569534348,90,61.37,35.37,279.933,3.24
Magdagachi,13,RU,1569534348,98,53.45,125.8,279.843,3.37
Sarila,100,IN,1569534348,91,25.77,79.68,298.053,3.61
Nikolskoye,90,RU,1569534348,81,59.7,30.79,282.04,2.0
Majene,100,ID,1569534348,80,-3.54,118.97,300.223,10.23
Ribeira Grande,0,PT,1569534349,88,38.52,-28.7,295.673,4.57
Strezhevoy,0,RU,1569534349,95,60.73,77.6,276.15,4.0
Snezhnogorsk,75,RU,1569534349,93,69.19,33.23,278.15,1.0
Corsicana,1,US,1569534168,36,32.09,-96.46,308.15,2.1
Ithaca,40,US,1569534124,68,42.44,-76.5,293.71,2.1
Thompson,75,CA,1569534286,48,55.74,-97.86,279.15,5.7
Torbay,90,CA,1569534350,100,47.66,-52.73,284.82,7.2
Saint-Georges,100,CA,1569534350,97,46.12,-70.67,285.93,4.17
Mirante do Paranapanema,20,BR,1569534350,44,-22.29,-51.91,298.15,1.0
Luganville,75,VU,1569534350,83,-15.51,167.18,298.15,6.2
Concordia,5,AR,1569534350,33,-31.4,-58.02,301.48,3.13
Ueno,1,JP,1569534350,93,36.07,138.76,292.59,0.93
Port Macquarie,40,AU,1569534250,100,-31.43,152.91,288.15,2.6
Gat,20,SN,1569534351,83,14.69,-16.54,302.15,3.6
Xinzhi,40,TW,1569534351,83,22.54,120.62,298.71,1.0
Cherskiy,99,RU,1569534351,54,68.75,161.3,272.443,1.94
Klaksvik,100,FO,1569534351,87,62.23,-6.59,285.15,12.3
Sola,41,TZ,1569534352,52,-3.17,33.8,295.773,2.79
Zvishavane,19,ZW,1569534352,70,-20.32,30.05,283.623,4.56
Kallaste,0,EE,1569534352,93,58.66,27.16,276.48,1.41
Vardo,20,US,1569534352,37,39.62,-77.74,301.48,5.7
Nabire,100,ID,1569534352,99,-3.36,135.5,294.303,1.15
Emerald,0,AU,1569534353,82,-23.53,148.16,291.15,3.1
Harlingen,20,NL,1569534057,93,53.18,5.41,290.37,7.7
Barahona,40,DO,1569534353,79,18.21,-71.1,303.15,4.1
Salalah,40,OM,1569534353,83,17.01,54.1,300.15,1.5
Naze,75,NG,1569534353,94,5.43,7.07,298.15,2.49
Isangel,75,VU,1569534353,73,-19.55,169.27,296.15,3.1
Dicabisagan,52,PH,1569534354,96,17.08,122.42,295.713,0.9
Estelle,0,FR,1569534354,53,43.97,3.47,296.15,6.2
Laguna,40,BZ,1569534354,63,16.17,-88.94,306.15,3.1
Port Elizabeth,90,US,1569534354,74,39.31,-74.98,301.48,2.6
Hastings,34,NZ,1569534027,63,-39.64,176.84,286.093,7.28
Castro,0,CL,1569534355,39,-42.48,-73.76,291.15,3.1
New Norfolk,75,AU,1569534355,54,-42.78,147.06,288.71,3.6
Vanavara,96,RU,1569534355,79,60.35,102.28,273.583,1.04
Koumac,82,NC,1569534355,75,-20.56,164.28,294.493,2.9
Tevriz,0,RU,1569534355,95,57.51,72.4,273.443,2.5
Denia,0,ES,1569534355,61,38.84,0.11,298.71,7.15
Skibbereen,20,IE,1569534356,87,51.55,-9.27,285.15,5.7
Ponta do Sol,100,BR,1569534356,97,-20.63,-46.0,290.273,1.55
Shenyang,0,CN,1569534356,100,41.8,123.43,286.15,2.0
Lamu,0,CN,1569534356,57,35.77,102.37,279.473,0.63
Cadereyta,40,MX,1569534357,52,25.58,-99.98,306.15,3.6
West Wendover,1,US,1569534357,25,40.74,-114.07,296.15,2.6
Nytva,0,RU,1569534357,88,57.94,55.33,276.15,6.0
Mount Gambier,90,AU,1569534246,87,-37.83,140.78,286.15,4.1
Ngunguru,0,NZ,1569534357,75,-35.62,174.5,287.04,4.92
Clyde River,20,CA,1569534357,93,70.47,-68.59,277.15,4.6
Zatoka,20,PL,1569534358,87,50.04,20.52,287.59,2.6
Pevek,33,RU,1569534358,70,69.7,170.27,273.443,4.16
San-Pedro,61,CI,1569534358,98,4.75,-6.64,295.663,1.34
Norman Wells,75,CA,1569534358,81,65.28,-126.83,278.15,6.2
Valparaiso,1,US,1569534350,37,41.47,-87.06,296.48,2.1
Masalli,75,KR,1569534359,100,34.8,126.66,291.15,2.1
Skagen,82,SE,1569534359,87,58.6,13.44,284.15,2.6
Nouadhibou,0,MR,1569534359,78,20.93,-17.03,295.15,7.7
Arteaga,40,MX,1569534359,42,25.45,-100.85,302.04,4.1
Harper,1,US,1569534360,30,30.3,-99.24,309.26,4.1
Le Port,0,FR,1569534360,82,42.87,1.37,291.48,2.24
Sangar,0,RU,1569534360,92,63.92,127.47,274.563,4.36
Rassvet,0,RU,1569534360,47,49.11,45.47,282.653,2.5
Hobyo,13,SO,1569534361,80,5.35,48.53,298.073,9.91
Khasan,100,RU,1569534361,91,42.43,130.64,285.993,1.02
San Cristobal,81,HN,1569534361,78,14.68,-86.92,299.263,2.49
Winslow,75,GB,1569534361,87,51.94,-0.88,287.59,5.7
Novovoronezh,75,RU,1569534362,50,51.31,39.22,284.15,3.0
Tecpan,40,GT,1569534362,54,14.76,-90.99,299.15,2.1
La Ronge,75,CA,1569534362,46,55.1,-105.3,283.15,5.7
Pochinok,2,RU,1569534362,75,54.4,32.44,277.473,2.17
Saucillo,0,MX,1569534363,34,28.03,-105.29,303.393,3.3
Galle,100,GN,1569534363,96,10.08,-12.83,295.043,0.89
Coolum Beach,6,AU,1569534363,73,-26.53,153.09,294.26,0.45
Presidente Epitacio,0,BR,1569534363,46,-21.76,-52.12,299.033,2.96
Ilulissat,20,GL,1569534364,26,69.22,-51.1,279.15,8.2
Humberto de Campos,0,BR,1569534364,78,-2.6,-43.46,299.163,2.7
Fort Nelson,90,CA,1569534364,93,58.81,-122.69,275.15,5.1
Santiago Tuxtla,32,MX,1569534365,75,18.47,-95.3,302.59,5.36
Igarka,90,RU,1569534365,97,67.47,86.57,273.013,5.04
Angoche,0,MZ,1569534365,75,-16.23,39.91,293.463,3.47
Camacupa,76,AO,1569534365,43,-12.02,17.48,291.643,1.35
Paranaiba,100,BR,1569534365,72,-19.68,-51.19,296.553,1.76
Nova Olinda do Norte,100,BR,1569534365,42,-3.89,-59.1,307.513,0.46
Tessalit,0,ML,1569534366,8,20.2,1.01,306.153,4.58
Xixiang,0,CN,1569534366,78,22.58,113.87,300.37,2.0
Entre Rios,73,BR,1569534366,74,-11.94,-38.08,295.153,3.48
Tuburan,20,PH,1569534366,83,10.73,123.82,300.15,1.5
East London,0,ZA,1569534366,25,-33.02,27.91,292.033,3.07
Bundaberg,75,AU,1569534367,82,-24.87,152.35,293.71,3.1
Kuito,57,AO,1569534367,46,-12.38,16.94,289.933,1.75
Rabo de Peixe,75,PT,1569534367,94,37.8,-25.58,295.15,3.6
Along,18,IN,1569534367,95,28.17,94.8,285.043,1.32
Hibbing,1,US,1569534178,55,47.43,-92.94,290.15,4.1
Alofi,40,NU,1569534367,69,-19.06,-169.92,298.15,6.7
Kampot,75,KH,1569534368,94,10.62,104.18,299.15,2.1
Tiksi,100,RU,1569534368,93,71.64,128.87,274.723,1.16
Bontang,43,ID,1569534368,97,0.12,117.47,295.893,0.25
Artyom,90,RU,1569534368,100,43.36,132.19,286.15,2.0
Nanortalik,0,GL,1569534368,77,60.14,-45.24,279.013,0.36
Port Augusta,1,AU,1569534369,53,-32.49,137.76,288.71,4.1
Mehamn,75,NO,1569534369,100,71.03,27.85,281.15,3.6
Fortuna,20,US,1569534369,68,40.6,-124.16,298.15,7.2
Makokou,37,GA,1569534369,96,0.56,12.85,294.773,1.46
Faanui,76,PF,1569534369,78,-16.48,-151.75,299.663,8.13
Richards Bay,0,ZA,1569534370,66,-28.77,32.06,290.443,6.1
Port-Gentil,75,GA,1569534370,88,-0.72,8.78,299.15,4.1
Sari,75,IR,1569534370,93,36.57,53.06,292.15,1.0
Constitucion,75,MX,1569534370,35,23.99,-104.67,298.15,2.1
Aklavik,75,CA,1569534370,60,68.22,-135.01,277.15,3.1
Havelock,1,US,1569534095,62,34.88,-76.9,303.71,7.7
Lokosovo,86,RU,1569534371,96,61.13,74.84,272.713,5.12
Mirabad,0,IR,1569534371,73,28.27,61.33,289.283,1.2
El Penon,20,MX,1569534371,59,20.26,-97.43,307.15,4.1
Poopo,27,BO,1569534371,37,-18.38,-66.97,286.833,2.39
Margate,75,AU,1569534371,54,-43.03,147.26,288.71,3.6
San Luis,11,AR,1569534372,14,-33.3,-66.34,305.473,4.3
Mount Vernon,90,US,1569534372,51,38.73,-77.1,302.15,3.1
Taketa,75,JP,1569534372,69,32.97,131.38,299.15,3.1
Vestmannaeyjar,99,IS,1569534372,91,63.44,-20.27,283.743,1.57
Zaozhuang,0,CN,1569534372,90,34.86,117.55,289.053,1.05
Batemans Bay,0,AU,1569534373,74,-35.71,150.18,285.37,2.68
Andradina,37,BR,1569534373,51,-20.89,-51.38,298.923,2.11
Flin Flon,75,CA,1569534373,70,54.77,-101.88,280.15,5.1
Pirovskoye,0,RU,1569534373,96,57.63,92.27,271.193,2.26
Saint-Pierre,75,FR,1569534373,82,48.95,4.24,292.15,9.3
Mazyr,54,BY,1569534374,97,52.05,29.27,280.523,1.64
Waddan,0,LY,1569534374,54,29.16,16.14,299.173,6.01
Great Yarmouth,29,GB,1569534374,82,52.61,1.73,288.71,4.6
Borovnica,75,BA,1569534374,100,44.38,18.19,285.15,0.5
Borogontsy,57,RU,1569534374,88,62.67,131.17,276.713,4.9
Kargopol,100,RU,1569534375,97,61.51,38.95,276.863,1.85
Grindavik,75,IS,1569534375,87,63.84,-22.43,288.15,2.1
Carauari,76,BR,1569534375,39,-4.88,-66.9,308.153,0.47
Carnduff,100,CA,1569534375,94,49.17,-101.8,282.04,3.13
Samarai,100,PG,1569534375,94,-10.62,150.67,296.843,2.46
Yinchuan,0,CN,1569534375,52,38.48,106.21,288.683,0.83
Pitimbu,0,BR,1569534376,83,-7.47,-34.81,297.15,3.6
Lebowakgomo,0,ZA,1569534376,37,-24.3,29.54,283.15,2.1
San Jose,40,HN,1569534376,49,14.25,-87.96,306.15,4.6
Jilib,72,SO,1569534376,76,0.49,42.79,298.163,2.6
Chicama,75,PE,1569534376,82,-7.84,-79.15,290.15,6.7
Thaba Nchu,0,ZA,1569534377,34,-29.2,26.83,283.15,1.0
Tondano,20,ID,1569534377,94,1.3,124.91,295.15,1.5
Fairbanks,90,US,1569534093,86,64.84,-147.72,278.15,2.6
Namibe,56,AO,1569534377,87,-15.19,12.15,293.113,3.71
Madang,0,CN,1569534377,74,35.32,102.79,272.303,0.68
Vila Velha,0,BR,1569534296,69,-3.71,-38.6,300.15,5.7
Nelson,2,CA,1569534378,79,49.49,-117.29,288.71,2.79
Motygino,100,RU,1569534378,88,58.18,94.69,273.033,4.07
Qaqortoq,3,GL,1569534378,52,60.72,-46.03,281.15,2.6
Baturaja,93,ID,1569534378,80,-4.12,104.17,295.113,1.27
Bolshoye Selo,27,RU,1569534379,94,57.72,38.93,275.033,2.23
Genhe,63,CN,1569534379,85,50.78,121.52,280.573,1.39
Buraydah,0,SA,1569534384,23,26.33,43.97,302.15,3.1
Micheweni,60,TZ,1569534384,78,-4.97,39.83,299.233,9.18
Hervey Bay,75,AU,1569534384,82,-25.3,152.85,293.71,3.1
Tautira,20,PF,1569534385,66,-17.73,-149.15,302.15,5.1
Svolvaer,0,NO,1569534385,100,68.23,14.57,283.15,3.43
Afikpo,6,NG,1569534385,96,5.88,7.92,296.673,1.68
Khani,40,GE,1569534385,93,41.96,42.96,290.15,2.6
Pirapozinho,20,BR,1569534202,44,-22.27,-51.5,298.15,1.0
Meulaboh,97,ID,1569534386,85,4.14,96.13,299.673,4.21
Quang Ngai,10,VN,1569534386,98,15.12,108.8,292.153,1.24
Lipin Bor,97,RU,1569534386,97,60.26,37.97,276.603,1.85
Auki,100,NG,1569534386,52,12.18,6.51,301.563,2.86
Adre,100,TD,1569534386,64,13.47,22.2,299.013,7.91
Igualada,20,ES,1569534386,88,41.58,1.62,296.48,2.6
Portland,90,US,1569534321,82,43.66,-70.25,292.15,2.6
Oktyabrskiy,0,RU,1569534387,80,55.61,37.97,279.26,1.0
Opuwo,0,NA,1569534387,25,-18.06,13.84,296.593,4.96
Ordzhonikidze,22,UA,1569534387,90,44.96,35.36,282.813,0.58
Kudeyevskiy,40,RU,1569534387,86,54.87,56.75,276.15,3.0
Mirnyy,53,RU,1569534387,89,56.57,36.46,276.473,1.64
Turkan,0,AF,1569534388,32,35.6,68.92,286.433,2.76
Bilma,0,NE,1569534388,12,18.69,12.92,305.973,2.11
Zykovo,77,RU,1569534388,76,55.24,40.35,273.15,0.45
Ancud,0,CL,1569534388,39,-41.87,-73.83,291.15,3.1
Abu Zabad,100,SD,1569534388,79,12.35,29.25,297.943,5.12
Sorland,0,NO,1569534388,100,67.67,12.69,278.15,4.12
San Policarpo,99,PH,1569534389,90,12.18,125.51,297.903,2.42
Mahon,20,IE,1569534389,87,51.89,-8.4,285.37,5.7
